Name,Qty,Total (IDR),Total (USD),Link
Stepper Motor,2,182000,"10,12",https://www.tokopedia.com/cncstorejogja/usongshine-nema-17-17hs4401-motor-stepper-42-40mm-12v-1-5a-plus-kabel
Printed Circuit board,1,,"3,5",
Wheel ,2,24000,"1,34",https://www.tokopedia.com/arduinonano/roda-65mm-karet-rubber-wheel-robot-tire-tt-motor-smart-car-diy-wheel
ESP32C3 DevKit,1,85000,"4,73",https://www.tokopedia.com/temins/esp32-nodemcu-esp-32-esp32s-32s-wifi-module-devkit-dev-38-pin-1729797014153692567?t_id=1782901083899&t_st=27&t_pp=cart&t_efo=cart&t_ef=&t_sm=&t_spt=cart
GY-521 MPU-6050 ,1,29500,"1,64",https://www.tokopedia.com/khurs-iot/gy-521-mpu-6050-3-axis-accelerometer-gyroscope-arduino-raspberry-pi?extParam=ivf%3Dfalse%26keyword%3Dgy-521+module+with+mpu-6050%26search_id%3D20260703094308371BCE7DC8381718578F%26src%3Dsearch&t_id=1782901083899&t_st=24&t_pp=search_result&t_efo=search_pure_goods_card&t_ef=goods_search&t_sm=&t_spt=search_result
A4988 Reprap Stepper Driver,2,34000,"1,89",https://www.tokopedia.com/temins/a4988-reprap-stepper-driver-cnc-3d-printer?extParam=ivf%3Dfalse%26keyword%3Dpololu+breakout+4988%26search_id%3D20260703094525CD00692C3BFE59295A6C%26src%3Dsearch&t_id=1782901083899&t_st=25&t_pp=search_result&t_efo=search_pure_goods_card&t_ef=goods_search&t_sm=&t_spt=search_result
Lipobattery 11.1V,1,169200,"9,42",https://www.tokopedia.com/rin-toys/baterai-lipo-11-1-volt-3s-batre-lithium-polymer-for-wgg-mobil-rc-1734386815592072921?extParam=ivf%3Dfalse%26keyword%3Dlipobattery%26search_id%3D20260703100056B83AAC23B952872AFVWB%26src%3Dsearch&t_id=1782901083899&t_st=34&t_pp=search_result&t_efo=search_pure_goods_card&t_ef=goods_search&t_sm=&t_spt=search_result
LIpobattery charger,1,65000,"3,61",https://www.tokopedia.com/rin-toys/charger-baterai-balance-charger-for-2s-3s-7-4v-11-1v-lithium-lipo-battery-1731018524016871129?extParam=whid%3D18463153%26src%3Dchat
Magnet,1,20000,"1,11",https://www.tokopedia.com/tokodstore/magnet-kuat-neodymium-bulat-diy-5-3mm-50pcs?extParam=ivf%3Dfalse%26keyword%3Dmini+magnet%26search_id%3D202607050039293FE94A002317B5346ZJK%26src%3Dsearch&t_id=1783211974588&t_st=1&t_pp=search_result&t_efo=search_pure_goods_card&t_ef=goods_search&t_sm=&t_spt=search_result
OLED Display,2,58000,"3,22",
Button,1,15000,"0,83",https://www.tokopedia.com/arduinonano/r16-503bd-4-pin-16mm-push-on-non-locked-button-switch-250v-light-merah?extParam=src%3Dshop%26whid%3D2850960&aff_unique_id=&channel=others&chain_key=
Jumper Wire 15 cm,1 pack,23000,"1,28",https://www.tokopedia.com/arduinonano/kabel-jumper-40p-cable-dupont-pelangi-15cm-40pin-header-cable-pin-rainbow-15-cm-1729801397622441069?extParam=src%3Dshop%26whid%3D2850960&aff_unique_id=&channel=others&chain_key=
Header Pin,1 pack,14000,"0,78",https://www.tokopedia.com/arduinonano/1x40-pin-2-0mm-male-single-row-header-strip-40-40p-pit-2mm-tulang-ikan?extParam=src%3Dshop%26whid%3D2850960&aff_unique_id=&channel=others&chain_key=
Heatsink,2,4656,"0,26",https://www.tokopedia.com/rajacell/heatsink-aluminium-pendingin-14x14x6mm-dengan-3m-thermal-tape?extParam=ivf%3Dfalse%26keyword%3Dheat+set+insert+%26search_id%3D202607080016323FE94A002317B501AGHP%26src%3Dsearch&t_id=1783310432964&t_st=4&t_pp=search_result&t_efo=search_pure_goods_card&t_ef=goods_search&t_sm=&t_spt=search_result
Heatset insert,1,252200,"14,02",https://www.tokopedia.com/smbility/insert-nut-kuningan-hot-500pcs-hot-melt-nutinsert-thread-knurled-spiral-brass-nut-insert-1730606018733835796?extParam=ivf%3Dfalse%26keyword%3Dheat+insert+m3%26search_id%3D20260708002015C042F4DB68F234374NW5%26src%3Dsearch&t_id=1783310432964&t_st=8&t_pp=search_result&t_efo=search_pure_goods_card&t_ef=goods_search&t_sm=&t_spt=search_result
Nut set,1,131000,"7,28",https://www.tokopedia.com/fyn-by-finedego/baut-set-m3-m4-m5-m6-600-pcs-hex-ring-mur-screw-bolt-nuts-assortment-kit-stainless-steel-l-bulat-40mm-30mm-20mm-10mm-16mm-12mm-8mm-paket-taffware-sa6-1734446427248887202?extParam=ivf%3Dfalse%26keyword%3Dheat+insert+nut+m3+x+4mm%26search_id%3D20260708002226AD972F10E0800B042LX3%26src%3Dsearch&t_id=1783310432964&t_st=9&t_pp=search_result&t_efo=search_pure_goods_card&t_ef=goods_search&t_sm=&t_spt=search_result
10 uF capacitor,1,20400,"1,14",https://www.tokopedia.com/lektropedia/elco-10uf-450v-kapasitor-10-uf-mikro-450-v-volt-elko-450volt-capasitor-1-49-pcs-ed5a8?extParam=ivf%3Dfalse%26keyword%3Dcapacitor+10uf%26search_id%3D20260708004347A49E9411D64FF5084HN8%26src%3Dsearch&t_id=1783310432964&t_st=10&t_pp=search_result&t_efo=search_pure_goods_card&t_ef=goods_search&t_sm=&t_spt=search_result
100 uF capcitor (3.5 cm height),3,24900,"1,16",https://www.tokopedia.com/lektropedia/elco-100uf-450v-kapasitor-100-uf-mikro-450-v-volt-elko-450volt?extParam=ivf%3Dfalse%26keyword%3Dcapacitor+100+uf%26search_id%3D2026070800445800EC53C4682D362CDQEE%26src%3Dsearch&t_id=1783310432964&t_st=11&t_pp=search_result&t_efo=search_pure_goods_card&t_ef=goods_search&t_sm=&t_spt=search_result
Zener diode,1,10000,"0,56",https://www.tokopedia.com/arduinonano/dioda-zener-1w-3v6-3-6v-1n4729a-in4729a-1n4729-in4729-diode-do-41?extParam=ivf%3Dfalse%26keyword%3Dzener+diode%26search_id%3D2026070800473015D4E891D7849731AFTY%26src%3Dsearch&t_id=1783310432964&t_st=12&t_pp=search_result&t_efo=search_pure_goods_card&t_ef=goods_search&t_sm=&t_spt=search_result
LED,1,1250,"0,07",https://www.tokopedia.com/arduinonano/led-blink-red-5mm-diode-super-bright-led-kedip-merah-led-5mm-kedip?extParam=src%3Dshop%26whid%3D2850960&aff_unique_id=&channel=others&chain_key=
Resistor,1,15000,"0,83",https://www.tokopedia.com/arduinonano/10pcs-resistor-1k-1-kilo-k-ohm-1-4-watt-0-25-metal-film-tolerance-1?extParam=ivf%3Dfalse%26keyword%3D1k+resistor%26search_id%3D202607080049581543843A4723ED160GND%26src%3Dsearch&t_id=1783310432964&t_st=15&t_pp=search_result&t_efo=search_pure_goods_card&t_ef=goods_search&t_sm=&t_spt=search_result
LM7805 Voltage Regulator,1,3000,"0,17",https://www.tokopedia.com/khurs-iot/ic-regulator-7805-l7805cv-lm7805-voltage-regulator-5-volt?extParam=ivf%3Dfalse%26keyword%3Dlm7805+regulator%26search_id%3D20260708005128A96B65A721E5610B1E05%26src%3Dsearch&t_id=1783310432964&t_st=16&t_pp=search_result&t_efo=search_pure_goods_card&t_ef=goods_search&t_sm=&t_spt=search_result
Buzzer,1,5000,"0,28",https://www.tokopedia.com/azzamarduino/buzzer-speaker-aktif-active-dc-3v-24v-sfm-27-3cm-input-3v-5v-12v-bunyi?extParam=ivf%3Dfalse%26keyword%3Dbuzzer%26search_id%3D20260708005325CD00692C3BFE5926FWW3%26src%3Dsearch&t_id=1783310432964&t_st=17&t_pp=search_result&t_efo=search_pure_goods_card&t_ef=goods_search&t_sm=&t_spt=search_result
Amass Connector,1,8500,"0,47",https://www.tokopedia.com/arduinonano/amass-connector-plug-xt30u-amass-xt-30-u-konektor-for-power-1732555087363605613?extParam=ivf%3Dfalse%26keyword%3Damass+connector%26search_id%3D202607080057278BF1211FD4B7B91A5G6M%26src%3Dsearch&t_id=1783310432964&t_st=19&t_pp=search_result&t_efo=search_pure_goods_card&t_ef=goods_search&t_sm=&t_spt=search_result
3D Print,,,9,
,SUM,1194606,"78,71",
